ticket_intent,ticket_intent_detail,knowledge_type,knowledge_id,knowledge_title,nb_tickets_used_in_28d
Order:Status,General Order Status Inquiries,guidance,6031952,When a shopper reaches out about order issues or shipping issues,78
Order:Status,General Order Status Inquiries,guidance,8556849,(NEW) When a shopper ask where her order is or a WISMO question,30
Order:Status,General Order Status Inquiries,guidance,5868648,When a shopper asks about shipping costs/delivery times,19
Order:Status,General Order Status Inquiries,external_snippet,4440596,How soon will my order be shipped?,13
Order:Status,General Order Status Inquiries,guidance,8515638,When the shopper reaches out to confirm if their order or payment went through,11
Order:Status,General Order Status Inquiries,external_snippet,4440727,Where can I find information about my order status?,8
Order:Status,General Order Status Inquiries,external_snippet,4440648,How long does it take to receive my order?,6
Order:Status,General Order Status Inquiries,external_snippet,4440535,How long does it take to receive my order?,5
Order:Status,General Order Status Inquiries,external_snippet,4440711,How do I follow my order?,5
Order:Status,General Order Status Inquiries,external_snippet,4440608,Where can I find information on tracking my order?,3
Order:Status,General Order Status Inquiries,external_snippet,10387001,How can I track my package?,3
Order:Status,General Order Status Inquiries,external_snippet,10386901,What is the return and refund policy?,2
Order:Status,General Order Status Inquiries,external_snippet,4440579,How can I follow my order or return it?,2
Order:Status,General Order Status Inquiries,guidance,6130658,If a shopper asks about returns,2
Order:Status,General Order Status Inquiries,external_snippet,10386907,What should I do if I haven't received my package?,1
Order:Status,General Order Status Inquiries,external_snippet,4440805,How can I follow my order from Nebulae?,1
Order:Status,General Order Status Inquiries,external_snippet,4440537,Where does my order ship from?,1
Order:Status,General Order Status Inquiries,guidance,7321695,When a shopper asks when a product will be back in stock,1
Order:Status,General Order Status Inquiries,guidance,6300270,When a shopper has a malfunctioning product or asks about the warranty,1
Order:Status,General Order Status Inquiries,guidance,6124682,When a shopper asks about the gift card,1
Order:Wrong Item,Other,guidance,6031952,When a shopper reaches out about order issues or shipping issues,10
Order:Status,Other,guidance,6031952,When a shopper reaches out about order issues or shipping issues,5
Exchange:Request,Other,guidance,7323168,When a shopper asks about exchanges,4
Order:Wrong Item,Other,guidance,7323168,When a shopper asks about exchanges,4
Order:Missing Item,Other,guidance,6031952,When a shopper reaches out about order issues or shipping issues,3
Promotion & Discount:Issue,Other,guidance,10159872,"When a shopper asks about current promotions, discounts, or special offers (New)",3
Account:Other,Other,guidance,5898606,When a shopper asks about using/spending Loyalty Points online or in-store or if they have issues using the points,3
Warranty:Claim,Other,guidance,6300270,When a shopper has a malfunctioning product or asks about the warranty,3
Product:Customization,Other,guidance,6124682,When a shopper asks about the gift card,2
Order:Wrong Item,Other,external_snippet,10386939,What is the return policy for Nébuleuse jewelry?,2
Warranty:Information,Other,guidance,6300270,When a shopper has a malfunctioning product or asks about the warranty,2
Account:Other,Other,guidance,5950621,Affiliation/ambassador program (PART 2) - Commissions & Technical Support,2
Order:Status,Other,guidance,8556849,(NEW) When a shopper ask where her order is or a WISMO question,2
Shipping:Other,Other,guidance,6031952,When a shopper reaches out about order issues or shipping issues,2
Account:Deletion,Other,guidance,7253294,"When a shopper asks to create, edit, suppress or merge accounts",2
Account:Other,Other,guidance,5898604,When a shopper asks about the Loyalty Program (PART 1),2
Warranty:Claim,Other,guidance,8988116,When shopper reports losing a piece of jewelry or a clasp,2
Marketing:Collaboration,Other,external_snippet,10386951,What is the 'Ambassador Program'?,2
Shipping:Information,Other,external_snippet,10386919,What is the shipping policy for Nébuleuse Bijoux?,1
Marketing:Collaboration,Other,external_snippet,4440561,How to join the ambassador program?,1
Return:Other,Other,guidance,6130658,If a shopper asks about returns,1
Warranty:Information,Other,external_snippet,4440567,What is your warranty policy?,1
Shipping:Information,Other,guidance,5868648,When a shopper asks about shipping costs/delivery times,1
Other:Other,Other,external_snippet,10387003,What is the policy regarding piercing services?,1
Exchange:Request,Other,guidance,6300270,When a shopper has a malfunctioning product or asks about the warranty,1
Shipping:Delivered Not Received,Other,guidance,6031952,When a shopper reaches out about order issues or shipping issues,1
Order:Placement,Other,guidance,5898606,When a shopper asks about using/spending Loyalty Points online or in-store or if they have issues using the points,1
Other:Other,Other,guidance,6300270,When a shopper has a malfunctioning product or asks about the warranty,1
Other:Other,Other,guidance,5951753,When a shopper asks about stores and physical points of sale,1
Promotion & Discount:Issue,Other,external_snippet,10386991,What happens to my loyalty points if I return an order?,1
Account:Other,Other,guidance,5950617,"Affiliation/Ambassador program (PART 1) - Joining, Benefits & Referral Links",1
Order:Status,Other,external_snippet,4440608,Where can I find information on tracking my order?,1
Product:Details,Other,guidance,6300270,When a shopper has a malfunctioning product or asks about the warranty,1
Order:Wrong Item,Other,guidance,6130658,If a shopper asks about returns,1
Shipping:Delivered Not Received,Other,guidance,8556849,(NEW) When a shopper ask where her order is or a WISMO question,1
Product:Customization,Other,external_snippet,10386917,What are the standard bar lengths for piercings?,1
Order:Wrong Item,Other,external_snippet,10386901,What is the return and refund policy?,1
Order:Damaged,Other,guidance,6031952,When a shopper reaches out about order issues or shipping issues,1
Feedback:Other,Other,guidance,6031952,When a shopper reaches out about order issues or shipping issues,1
Marketing:Collaboration,Other,guidance,5950617,"Affiliation/Ambassador program (PART 1) - Joining, Benefits & Referral Links",1
Order:Payment,Other,guidance,8515638,When the shopper reaches out to confirm if their order or payment went through,1
Promotion & Discount:Issue,Other,guidance,6124682,When a shopper asks about the gift card,1
Warranty:Claim,Other,guidance,10159872,"When a shopper asks about current promotions, discounts, or special offers (New)",1
Shipping:Change Address,Other,guidance,8556849,(NEW) When a shopper ask where her order is or a WISMO question,1
Order:Payment,Other,guidance,6124682,When a shopper asks about the gift card,1
Order:Wrong Item,Other,guidance,7321695,When a shopper asks when a product will be back in stock,1
Feedback:Positive,Other,guidance,6300270,When a shopper has a malfunctioning product or asks about the warranty,1
Product:Usage,Other,guidance,6124682,When a shopper asks about the gift card,1
Promotion & Discount:Issue,Other,guidance,5898606,When a shopper asks about using/spending Loyalty Points online or in-store or if they have issues using the points,1
Product:Availability,Other,guidance,7321695,When a shopper asks when a product will be back in stock,1
Account:Other,Other,external_snippet,10386949,What is the 'Cosmic Club' loyalty program?,1
Feedback:Other,Other,guidance,10159872,"When a shopper asks about current promotions, discounts, or special offers (New)",1
Order:Other,Other,guidance,10159872,"When a shopper asks about current promotions, discounts, or special offers (New)",1
Other:Other,Other,external_snippet,4440774,Are there any piercings considered impossible to perform?,1
Subscription:Information,Other,guidance,5898604,When a shopper asks about the Loyalty Program (PART 1),1
Subscription:Information,Other,guidance,5946922,When a shopper asks about the Loyalty Program (PART 2),1
Shipping:Information,Other,external_snippet,4440537,Where does my order ship from?,1
Exchange:Request,Other,guidance,6031952,When a shopper reaches out about order issues or shipping issues,1
Account:Other,Other,guidance,6124682,When a shopper asks about the gift card,1
Shipping:Delay,Other,guidance,6031952,When a shopper reaches out about order issues or shipping issues,1
Exchange:Other,Other,guidance,7323168,When a shopper asks about exchanges,1
Marketing:Collaboration,Other,guidance,5950621,Affiliation/ambassador program (PART 2) - Commissions & Technical Support,1
Order:Edit,Other,guidance,7323168,When a shopper asks about exchanges,1
Order:Other,Other,guidance,5868648,When a shopper asks about shipping costs/delivery times,1
Order:Damaged,Other,guidance,6300270,When a shopper has a malfunctioning product or asks about the warranty,1
Order:Wrong Item,Other,external_snippet,10386909,Can I exchange an item?,1
Account:Other,Other,external_snippet,10386951,What is the 'Ambassador Program'?,1
Other:Other,Other,external_snippet,4440772,Can you get multiple piercings done in one session?,1
Other:Other,Other,external_snippet,10386961,How many piercings can I get at once?,1
Order:Edit,Other,guidance,8556849,(NEW) When a shopper ask where her order is or a WISMO question,1
Exchange:Request,Other,external_snippet,10386901,What is the return and refund policy?,1
Other:Other,Other,guidance,8988116,When shopper reports losing a piece of jewelry or a clasp,1
Warranty:Claim,Other,guidance,7321695,When a shopper asks when a product will be back in stock,1
Order:Payment,Other,guidance,6031952,When a shopper reaches out about order issues or shipping issues,1
Order:Status,Other,external_snippet,4440596,How soon will my order be shipped?,1
Exchange:Request,Other,guidance,6130658,If a shopper asks about returns,1
Product:Details,Other,guidance,8988116,When shopper reports losing a piece of jewelry or a clasp,1
Order:Other,Other,external_snippet,10386941,How long does shipping take for Nébuleuse orders?,1
Shipping:Information,Other,guidance,6143503,If a shopper asks a question you don't know the answer to,1
Marketing:Collaboration,Other,external_snippet,4440565,How to submit a collaboration with Nébuleuse jewelry?,1
Shipping:Delivered Not Received,Packages Marked Delivered Not Received,guidance,6031952,When a shopper reaches out about order issues or shipping issues,63
Shipping:Delivered Not Received,Packages Marked Delivered Not Received,external_snippet,10386907,What should I do if I haven't received my package?,8
Shipping:Delivered Not Received,Packages Marked Delivered Not Received,guidance,8556849,(NEW) When a shopper ask where her order is or a WISMO question,5
Shipping:Delivered Not Received,Packages Marked Delivered Not Received,external_snippet,10386993,Can I choose my shipping country?,1
Shipping:Delivered Not Received,Packages Marked Delivered Not Received,guidance,10159872,"When a shopper asks about current promotions, discounts, or special offers (New)",1
Shipping:Delivered Not Received,Packages Marked Delivered Not Received,guidance,5868648,When a shopper asks about shipping costs/delivery times,1
Shipping:Delivered Not Received,Packages Marked Delivered Not Received,external_snippet,6143905,Why do you sell your jewelry individually and not in pairs?,1
Shipping:Delivered Not Received,Packages Marked Delivered Not Received,external_snippet,4440608,Where can I find information on tracking my order?,1
Shipping:Delay,Delayed Orders Awaiting Delivery,guidance,6031952,When a shopper reaches out about order issues or shipping issues,38
Shipping:Delay,Delayed Orders Awaiting Delivery,guidance,8556849,(NEW) When a shopper ask where her order is or a WISMO question,7
Shipping:Delay,Delayed Orders Awaiting Delivery,guidance,5868648,When a shopper asks about shipping costs/delivery times,6
Shipping:Delay,Delayed Orders Awaiting Delivery,external_snippet,10387001,How can I track my package?,3
Shipping:Delay,Delayed Orders Awaiting Delivery,external_snippet,4440648,How long does it take to receive my order?,2
Shipping:Delay,Delayed Orders Awaiting Delivery,external_snippet,4440598,Can delivery times be extended?,1
Shipping:Delay,Delayed Orders Awaiting Delivery,external_snippet,10386907,What should I do if I haven't received my package?,1
Shipping:Delay,Delayed Orders Awaiting Delivery,external_snippet,4440596,How soon will my order be shipped?,1
Product:Quality Issues,Jewelry Defects and Breakages,guidance,6300270,When a shopper has a malfunctioning product or asks about the warranty,27
Product:Quality Issues,Jewelry Defects and Breakages,guidance,8988116,When shopper reports losing a piece of jewelry or a clasp,11
Product:Quality Issues,Jewelry Defects and Breakages,external_snippet,4440567,What is your warranty policy?,10
Product:Quality Issues,Jewelry Defects and Breakages,external_snippet,4440569,How can I make a warranty request?,3
Product:Quality Issues,Jewelry Defects and Breakages,guidance,6031952,When a shopper reaches out about order issues or shipping issues,3
Product:Quality Issues,Jewelry Defects and Breakages,external_snippet,4440525,What materials are used for Nébuleuse Bijoux jewelry?,1
Order:Damaged,Requests for replacement or refund of damaged jewelry,guidance,6300270,When a shopper has a malfunctioning product or asks about the warranty,23
Order:Damaged,Requests for replacement or refund of damaged jewelry,guidance,6031952,When a shopper reaches out about order issues or shipping issues,12
Order:Damaged,Requests for replacement or refund of damaged jewelry,external_snippet,4440567,What is your warranty policy?,8
Order:Damaged,Requests for replacement or refund of damaged jewelry,guidance,8988116,When shopper reports losing a piece of jewelry or a clasp,4
Order:Damaged,Requests for replacement or refund of damaged jewelry,guidance,7323168,When a shopper asks about exchanges,4
Order:Damaged,Requests for replacement or refund of damaged jewelry,external_snippet,4440569,How can I make a warranty request?,2
Order:Damaged,Requests for replacement or refund of damaged jewelry,external_snippet,10386909,Can I exchange an item?,1
Exchange:Request,Exchange Due to Defective or Mismatched Items,guidance,7323168,When a shopper asks about exchanges,19
Exchange:Request,Exchange Due to Defective or Mismatched Items,guidance,6300270,When a shopper has a malfunctioning product or asks about the warranty,14
Exchange:Request,Exchange Due to Defective or Mismatched Items,guidance,6031952,When a shopper reaches out about order issues or shipping issues,4
Exchange:Request,Exchange Due to Defective or Mismatched Items,guidance,6130658,If a shopper asks about returns,2
Exchange:Request,Exchange Due to Defective or Mismatched Items,external_snippet,4440567,What is your warranty policy?,2
Exchange:Request,Exchange Due to Defective or Mismatched Items,external_snippet,10386909,Can I exchange an item?,2
Exchange:Request,Exchange Due to Defective or Mismatched Items,external_snippet,10386947,Can I return or exchange an online order in a Nébuleuse store?,2
Exchange:Request,Exchange Due to Defective or Mismatched Items,external_snippet,4440670,Can I return a defective jewel in store?,1
Exchange:Request,Exchange Due to Defective or Mismatched Items,guidance,8556849,(NEW) When a shopper ask where her order is or a WISMO question,1
Exchange:Request,Exchange Due to Defective or Mismatched Items,guidance,8988116,When shopper reports losing a piece of jewelry or a clasp,1
Exchange:Status,Exchange Status Updates,guidance,6031952,When a shopper reaches out about order issues or shipping issues,23
Exchange:Status,Exchange Status Updates,guidance,7323168,When a shopper asks about exchanges,15
Exchange:Status,Exchange Status Updates,guidance,8515638,When the shopper reaches out to confirm if their order or payment went through,3
Exchange:Status,Exchange Status Updates,guidance,6130658,If a shopper asks about returns,2
Exchange:Status,Exchange Status Updates,guidance,8556849,(NEW) When a shopper ask where her order is or a WISMO question,2
Exchange:Status,Exchange Status Updates,external_snippet,4440608,Where can I find information on tracking my order?,1
Exchange:Status,Exchange Status Updates,external_snippet,4440727,Where can I find information about my order status?,1
Warranty:Claim,Warranty claims for defective jewelry products,guidance,6300270,When a shopper has a malfunctioning product or asks about the warranty,22
Warranty:Claim,Warranty claims for defective jewelry products,guidance,8988116,When shopper reports losing a piece of jewelry or a clasp,9
Warranty:Claim,Warranty claims for defective jewelry products,external_snippet,4440567,What is your warranty policy?,8
Warranty:Claim,Warranty claims for defective jewelry products,guidance,8622672,When a shopper reports having a piece of jewellery which blackens or oxidizes,2
Warranty:Claim,Warranty claims for defective jewelry products,external_snippet,10386901,What is the return and refund policy?,1
Warranty:Claim,Warranty claims for defective jewelry products,guidance,6031952,When a shopper reaches out about order issues or shipping issues,1
Warranty:Claim,Warranty claims for defective jewelry products,guidance,7323168,When a shopper asks about exchanges,1
Warranty:Claim,Warranty claims for defective jewelry products,external_snippet,4440569,How can I make a warranty request?,1
Product:Quality Issues,Jewelry Discoloration Issues,guidance,6300270,When a shopper has a malfunctioning product or asks about the warranty,10
Product:Quality Issues,Jewelry Discoloration Issues,guidance,8622672,When a shopper reports having a piece of jewellery which blackens or oxidizes,9
Product:Quality Issues,Jewelry Discoloration Issues,guidance,5868704,When a shopper asks about taking care of the jewelry,7
Product:Quality Issues,Jewelry Discoloration Issues,external_snippet,4440567,What is your warranty policy?,7
Product:Quality Issues,Jewelry Discoloration Issues,external_snippet,10386933,How should I care for my Nébuleuse jewelry?,2
Product:Quality Issues,Jewelry Discoloration Issues,external_snippet,4440525,What materials are used for Nébuleuse Bijoux jewelry?,2
Product:Quality Issues,Jewelry Discoloration Issues,external_snippet,4440795,What types of materials are used in Nebulae jewelry?,1
Product:Quality Issues,Jewelry Discoloration Issues,external_snippet,10386955,What is the aftercare process for a piercing?,1
Product:Quality Issues,Jewelry Discoloration Issues,external_snippet,10386929,What is the general customer feedback on Nébuleuse Bijoux products?,1
Product:Quality Issues,Jewelry Discoloration Issues,guidance,8515638,When the shopper reaches out to confirm if their order or payment went through,1
Product:Quality Issues,Jewelry Discoloration Issues,external_snippet,10386953,What materials are used for piercings?,1
Product:Quality Issues,Jewelry Discoloration Issues,external_snippet,10386983,How should I care for my piercing after getting it done?,1
Product:Quality Issues,Jewelry Discoloration Issues,external_snippet,4440697,Are product colors displayed accurately on the website?,1
Shipping:Change Address,Address corrections before shipment,guidance,6031952,When a shopper reaches out about order issues or shipping issues,18
Shipping:Change Address,Address corrections before shipment,external_snippet,4440652,"I got the wrong delivery address, what should I do?",7
Shipping:Change Address,Address corrections before shipment,guidance,8556849,(NEW) When a shopper ask where her order is or a WISMO question,5
Shipping:Change Address,Address corrections before shipment,external_snippet,4440541,"I got the wrong delivery address, what should I do?",3
Shipping:Change Address,Address corrections before shipment,external_snippet,10386907,What should I do if I haven't received my package?,1
Shipping:Change Address,Address corrections before shipment,external_snippet,4440567,What is your warranty policy?,1
Shipping:Change Address,Address corrections before shipment,guidance,7323168,When a shopper asks about exchanges,1
Shipping:Change Address,Address corrections before shipment,guidance,6300270,When a shopper has a malfunctioning product or asks about the warranty,1
Product:Quality Issues,Earring Closure Malfunctions,guidance,6300270,When a shopper has a malfunctioning product or asks about the warranty,27
Order:Missing Item,Missing Earrings and Piercings,guidance,6031952,When a shopper reaches out about order issues or shipping issues,20
Order:Missing Item,Missing Earrings and Piercings,guidance,8988116,When shopper reports losing a piece of jewelry or a clasp,6
Order:Missing Item,Missing Earrings and Piercings,guidance,8556849,(NEW) When a shopper ask where her order is or a WISMO question,5
Product:Quality Issues,Earring Closure Malfunctions,guidance,8988116,When shopper reports losing a piece of jewelry or a clasp,2
Product:Quality Issues,Earring Closure Malfunctions,guidance,6031952,When a shopper reaches out about order issues or shipping issues,2
Order:Missing Item,Missing Earrings and Piercings,guidance,6130658,If a shopper asks about returns,1
Order:Missing Item,Missing Earrings and Piercings,guidance,6300270,When a shopper has a malfunctioning product or asks about the warranty,1
Order:Missing Item,Missing Earrings and Piercings,external_snippet,6143905,Why do you sell your jewelry individually and not in pairs?,1
Product:Quality Issues,Earring Closure Malfunctions,external_snippet,10386899,What is the warranty policy for Nebuleuse Bijoux?,1
Product:Quality Issues,Earring Closure Malfunctions,guidance,7323168,When a shopper asks about exchanges,1
Product:Quality Issues,Earring Closure Malfunctions,external_snippet,4440567,What is your warranty policy?,1
Product:Quality Issues,Earring Closure Malfunctions,guidance,5898604,When a shopper asks about the Loyalty Program (PART 1),1
Order:Missing Item,Missing Earrings and Piercings,guidance,5898604,When a shopper asks about the Loyalty Program (PART 1),1
Product:Quality Issues,Earring Closure Malfunctions,guidance,10159872,"When a shopper asks about current promotions, discounts, or special offers (New)",1
Order:Missing Item,Missing Earrings and Piercings,external_snippet,4440658,Why do you sell jewelry pieces individually rather than in pairs?,1
Order:Status,Order Not Received After Shipping,guidance,6031952,When a shopper reaches out about order issues or shipping issues,16
Order:Status,Order Not Received After Shipping,guidance,8556849,(NEW) When a shopper ask where her order is or a WISMO question,8
Order:Status,Order Not Received After Shipping,guidance,5868648,When a shopper asks about shipping costs/delivery times,5
Order:Status,Order Not Received After Shipping,external_snippet,10386907,What should I do if I haven't received my package?,2
Order:Status,Order Not Received After Shipping,external_snippet,10387001,How can I track my package?,2
Order:Status,Order Not Received After Shipping,external_snippet,4440535,How long does it take to receive my order?,1
Order:Status,Order Not Received After Shipping,external_snippet,4440805,How can I follow my order from Nebulae?,1
Order:Missing Item,General Missing Items,guidance,6031952,When a shopper reaches out about order issues or shipping issues,21
Order:Missing Item,General Missing Items,guidance,8556849,(NEW) When a shopper ask where her order is or a WISMO question,3
Order:Missing Item,General Missing Items,guidance,10159872,"When a shopper asks about current promotions, discounts, or special offers (New)",2
Order:Missing Item,General Missing Items,guidance,8622672,When a shopper reports having a piece of jewellery which blackens or oxidizes,1
Order:Missing Item,General Missing Items,guidance,8988116,When shopper reports losing a piece of jewelry or a clasp,1
Order:Missing Item,General Missing Items,guidance,6300270,When a shopper has a malfunctioning product or asks about the warranty,1
Order:Missing Item,General Missing Items,guidance,5868704,When a shopper asks about taking care of the jewelry,1
Order:Damaged,Earring Replacement Requests,guidance,6300270,When a shopper has a malfunctioning product or asks about the warranty,12
Order:Damaged,Earring Replacement Requests,guidance,6031952,When a shopper reaches out about order issues or shipping issues,7
Order:Damaged,Earring Replacement Requests,external_snippet,4440567,What is your warranty policy?,5
Order:Damaged,Earring Replacement Requests,guidance,7323168,When a shopper asks about exchanges,1
Order:Damaged,Earring Replacement Requests,external_snippet,4440664,"I am not satisfied with my order, what can I do?",1
Order:Damaged,Earring Replacement Requests,external_snippet,4440553,"I am not satisfied with my order, what can I do?",1
Order:Damaged,Earring Replacement Requests,guidance,8988116,When shopper reports losing a piece of jewelry or a clasp,1
Warranty:Claim,Warranty oxidation discoloration claims,guidance,6300270,When a shopper has a malfunctioning product or asks about the warranty,7
Warranty:Claim,Warranty oxidation discoloration claims,guidance,8622672,When a shopper reports having a piece of jewellery which blackens or oxidizes,6
Warranty:Claim,Warranty oxidation discoloration claims,external_snippet,4440567,What is your warranty policy?,3
Warranty:Claim,Warranty oxidation discoloration claims,external_snippet,10386899,What is the warranty policy for Nebuleuse Bijoux?,2
Warranty:Claim,Warranty oxidation discoloration claims,guidance,5868704,When a shopper asks about taking care of the jewelry,2
